Date,RUO Close,RUO_EMA_20,RUO_EMA_50,RUO_MACD,RUO_MACDh,RUO_MACDs,RUO_RSI,RUO_STOCHk,RUO_STOCHd,RUO_BBL,RUO_BBM,RUO_BBU,RUO_BBB,RUO_BBP,RLV_Close,RLV_EMA_20,RLV_EMA_50,RLV_MACD,RLV_MACDh,RLV_MACDs,RLV_BBL,RLV_BBM,RLV_BBU,RLV_BBB,RLV_BBP,RLV_RSI,RLV_STOCHk,RLV_STOCHd,RUJ_Close,RUJ_EMA_20,RUJ_EMA_50,RUJ_MACD,RIJ_MACDh,RUJ_MACDs,RUJ_RSI,RUJ_STOCHk,RUJ_STOCHd,RUJ_BBL,RUJ_BBM,RUJ_BBU,RUJ_BBB,RUJ_BBP,RLG_Close,RLG_EMA_20,RLG_EMA_50,RLG_MACD,RLG_MACDh,RLG_MACDs,RLG_RSI,RLG_STOCHk,RLG_STOCHd,RLG_BBL,RLG_BBM,RLG_BBU,RLG_BBB,RLG_BBP,VIXCLS (Volitility Index),T10Y2Y,T10YIE( not seasonal),PERMIT,AMTMNO (new manufacturing orders),WPU101 (Iron and Steele Price Index)( not seasonal),USALORSGPNOSTSAM,GEPUCURRENT (not seasonal),UNRATE,M2REAL,CORESTICKM159SFRBATL,CPIENGSL,H8B1058NCBCMG,TOTALSA,JTSJOL,MEDCPIM158SFRBCLE,TB3SMFFM,T10YIEM,EXPINF2YR
3/7/2003,186.8399963,190.2525968,194.6689089,-2.439129266,0.152832471,-2.591961737,38.23237388,22.99329484,32.23001854,186.1802714,189.5779999,192.9757284,3.584517698,0.097083234,349.0599976,351.1640485,361.0561993,-3.170921678,0.512200967,-3.683122645,344.2060034,350.7906657,357.375328,3.754183285,0.368583379,45.98612418,44.04246283,46.28212482,514.5300293,514.1047625,542.989801,-6.945465723,0.447141025,-7.392606748,37.61221269,18.70295292,26.41955642,513.029469,521.4066691,529.7838692,3.213307608,0.08956216,349.0599976,346.5266753,361.0561993,-3.170921678,0.512200967,-3.683122645,45.98612418,44.04246283,46.28212482,344.2060034,350.7906657,357.375328,3.754183285,0.368583379,31.08,2.24,1.91,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/10/2003,183.3300018,189.593302,194.2242459,-2.70330233,-0.089072474,-2.614229855,32.50436498,10.56867395,20.51129111,184.5751183,189.1906667,193.8062151,4.879255904,-0.134882833,340.6600037,350.1636633,360.2563485,-3.645203679,0.030335173,-3.675538852,342.0076179,350.2679993,358.5283806,4.716606354,-0.081570946,39.2534008,26.57031209,37.63925849,506.2399902,513.7405018,541.548632,-7.540449453,-0.118274164,-7.422175289,32.5028188,7.716538657,16.11095706,509.1412406,520.4400024,531.7387643,4.342003624,-0.128387975,340.6600037,348.2599981,360.2563485,-3.645203679,0.030335173,-3.675538852,39.2534008,26.57031209,37.63925849,342.0076179,350.2679993,358.5283806,4.716606354,-0.081570946,33.31,2.24,1.9,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/11/2003,182.7100067,188.9377501,193.7727071,-2.928926964,-0.251757687,-2.677169277,31.60367259,9.253182081,14.27171696,183.25008,188.5420003,193.8339206,5.613518764,-0.051028105,338.5100098,349.0537915,359.4035509,-4.146760844,-0.376977594,-3.76978325,339.6058505,349.082666,358.5594816,5.429553779,-0.057816927,37.73074317,16.0095529,28.87410928,505.0599976,506.12761,540.1177051,-8.014804218,-0.474103144,-7.540701075,31.83981135,8.054819383,11.49143699,506.1863483,518.8300008,531.4736533,4.873909547,-0.044542144,338.5100098,340.4552423,359.4035509,-4.146760844,-0.376977594,-3.76978325,37.73074317,16.0095529,28.87410928,339.6058505,349.082666,358.5594816,5.429553779,-0.057816927,33.61,2.22,1.92,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/12/2003,182.25,188.3008215,193.3208362,-3.109016008,-0.345477385,-2.763538623,30.9190958,5.873979406,8.565278478,181.9526759,188.0140004,194.075325,6.447737481,0.024526334,340.9899902,348.2858104,358.6814505,-4.294629003,-0.419876602,-3.874752401,338.3388167,348.2053324,358.0718482,5.667067582,0.134352066,40.59331259,10.01560053,17.53182184,503.2099915,504.8838065,538.6703438,-8.442691724,-0.72159252,-7.721099205,30.77972641,5.018359663,6.929905901,502.9081226,517.5046651,532.1012077,5.641125013,0.010340424,340.9899902,338.7461984,358.6814505,-4.294629003,-0.419876602,-3.874752401,40.59331259,10.01560053,17.53182184,338.3388167,348.2053324,358.0718482,5.667067582,0.134352066,33.51,2.15,1.92,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/13/2003,187.8699951,188.2597904,193.1070777,-2.766362333,-0.002258967,-2.764103365,46.24043743,25.56096507,13.56270885,181.9077834,187.8646667,193.8215501,6.341675038,0.500447245,353.4200134,348.7747821,358.4751196,-3.369969681,0.403826176,-3.773795857,338.2498526,348.341333,358.4328134,5.794018343,0.751632082,52.40369469,35.69752439,20.57422594,515.3800049,504.3690404,537.7569972,-7.71089093,0.008166619,-7.71905755,43.99065276,23.09248547,12.0552215,502.6313707,517.0833313,531.5352919,5.589799434,0.441069365,353.4200134,342.173802,358.4751196,-3.369969681,0.403826176,-3.773795857,52.40369469,35.69752439,20.57422594,338.2498526,348.341333,358.4328134,5.794018343,0.751632082,31.76,2.15,2.01,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/14/2003,187.3999939,188.177905,192.8832705,-2.503868954,0.208187529,-2.712056483,45.3348739,43.23668204,24.89054217,182.1071066,187.5246663,192.942226,5.777970229,0.488493671,353.3299866,349.2086111,358.2733497,-2.614298912,0.927597556,-3.541896468,338.5625477,348.1513326,357.7401175,5.508400532,0.770037028,52.32256078,61.46093415,35.72468635,513.6300049,515.2133382,536.8108406,-7.189270469,0.423829665,-7.613100134,42.7278298,38.28829953,22.13304822,502.9275688,516.091331,529.2550931,5.10133047,0.406511297,353.3299866,353.4114394,358.2733497,-2.614298912,0.927597556,-3.541896468,52.32256078,61.46093415,35.72468635,338.5625477,348.1513326,357.7401175,5.508400532,0.770037028,30.98,2.16,1.83,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/17/2003,193.5,188.6847712,192.907456,-1.783067456,0.743191222,-2.526258677,57.0824418,71.79277693,46.86347468,181.6632611,187.8053335,193.9474058,6.54089233,0.963578597,366.6600037,350.8706485,358.6022381,-0.929093397,2.090242457,-3.019335854,335.9551273,349.2793335,362.6035397,7.629541711,1.152221599,61.76257185,85.70839217,60.9556169,528.8499756,515.0795259,536.4986498,-5.484535743,1.702851512,-7.187387255,54.86364598,67.70508113,43.02862205,502.1524295,516.7119975,531.2715654,5.635467347,0.916838541,366.6600037,354.599512,358.6022381,-0.929093397,2.090242457,-3.019335854,61.76257185,85.70839217,60.9556169,335.9551273,349.2793335,362.6035397,7.629541711,1.152221599,31.75,2.19,1.85,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/18/2003,195.1799927,189.3033638,192.9965751,-1.06400057,1.169806486,-2.233807056,59.6540197,85.24301653,66.75749183,181.0557209,188.1106659,195.1656109,7.500845239,1.001019272,368.5,352.5496344,358.9903856,0.548592608,2.854342769,-2.305750161,333.9592446,350.358667,366.7580894,9.36150517,1.053108902,62.85582622,92.79203997,79.9871221,531.7999878,529.1309291,536.3143886,-3.851086928,2.669040262,-6.52012719,56.7754801,82.87594668,62.95644245,501.2150262,517.1953308,533.1756355,6.179601286,0.956958027,368.5,366.8352414,358.9903856,0.548592608,2.854342769,-2.305750161,62.85582622,92.79203997,79.9871221,333.9592446,350.358667,366.7580894,9.36150517,1.053108902,30.43,2.19,1.83,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/19/2003,195.3300018,189.8773293,193.088082,-0.476537174,1.405815906,-1.88235308,59.88515425,99.86554436,85.63377927,180.6134092,188.5353322,196.4572552,8.403648182,0.928852287,371.0899963,354.3153831,359.4648802,1.906681435,3.369945277,-1.463263842,332.627263,351.9153341,371.2034051,10.96176788,0.997060132,64.39881877,99.44593805,92.64879006,532.8699951,531.9018933,536.1793143,-2.442075597,3.262441274,-5.704516871,57.47899751,99.94731436,83.50944739,500.2936414,518.073997,535.8543525,6.864021612,0.916077116,371.0899963,368.7466663,359.4648802,1.906681435,3.369945277,-1.463263842,64.39881877,99.44593805,92.64879006,332.627263,351.9153341,371.2034051,10.96176788,0.997060132,31.54,2.26,1.83,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
3/20/2003,196.4400024,190.5023458,193.2195299,0.077703851,1.568045544,-1.490341694,61.63650408,98.99157518,94.70004536,180.1079981,188.9053324,197.7026668,9.314013756,0.92823597,371.7600098,355.9767761,359.9470421,3.002430944,3.572555829,-0.570124885,331.5467444,353.2293355,374.9119266,12.27677824,0.927316877,64.80611406,98.06846911,96.76881571,535.5700073,533.1271391,536.1554199,-1.094933831,3.687666433,-4.782600263,59.28000709,99.01026595,93.944509,499.2011724,518.8126648,538.4241571,7.560144029,0.927232722,371.7600098,371.1538071,359.9470421,3.002430944,3.572555829,-0.570124885,64.80611406,98.06846911,96.76881571,331.5467444,353.2293355,374.9119266,12.27677824,0.927316877,30.44,2.26,1.81,1757,330437,120.7,98.38043148,167.7491684,5.9,3187.3,2.6277872,143.9,6.4,16.467,3099,1.126211809,-0.12,1.87,1.8973156
